1,2003-09-23,1,CheeseBurger,2,2,Soda,2,
1,1234-12-34,12312313,gsdfsfewf,1,No
1,1111-11-11,1111,efwfwef,1,1
1,1111-11-11,0,n,0,
1,1111-11-11,0,n,0,
76,2024-10-22,38586767,Joe,1,Nah
5,1111-11-11,2,burger,11,No
5,1111-11-11,3,krabbypatty,4,
5,1111-11-11,1,cheeseburger,2,3,krabbypatty,5,2,burger,4,
5,2024-11-17,2,burger,2,3,krabbypatty,2,
5,2024-11-17,4,fries,4,2,burger,3,
1,2024-11-24,0,Orange Juice,1,
1,2024-11-24,0,Orange Juice,1,
1,2024-11-24,0,Ice Cream,2,
1,2024-11-24,0,Coca Cola,1,
1,2024-11-24,0,Ice Cream,1,
1,2024-11-24,0,Apple Pie,1,
1,2024-11-24,0,Apple Pie,7,
1,2024-11-24,0,Coca Cola,1,0,Ice Cream,1,
1,2024-11-24,0,Orange Juice,10,
1,2024-11-24,0,Burger,1,
1,2024-11-24,0,Burger,1,
1,2024-11-24,0,Orange Juice,1,
1,2024-11-24,0,Apple Pie,1,0,Ice Cream,1,
1,2024-11-24,0,Apple Pie,19,
1,2024-11-24,0,Orange Juice,1,
